Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
172,Clark III - 301,4/11/2023 21:21,4/12/2023 20:42,4/11/2023 21:21,4/9/2024 21:33,4/10/2024 17:15,4/9/2024 21:33,,,,1,FALSE
173,Clark III - 302,4/11/2023 20:27,4/11/2023 19:33,4/11/2023 19:33,4/9/2024 21:18,4/9/2024 20:24,4/9/2024 20:24,,,,1,FALSE
174,Clark III - 303,4/11/2023 21:27,4/11/2023 17:36,4/11/2023 17:36,4/9/2024 19:36,4/9/2024 17:18,4/9/2024 17:18,,,,1,FALSE
172,Clark III - 304,4/11/2023 18:15,4/11/2023 17:00,4/11/2023 17:00,4/9/2024 21:12,4/9/2024 17:15,4/9/2024 17:15,,,,1,FALSE
174,Clark III - 305,4/11/2023 19:33,4/13/2023 17:54,4/11/2023 19:33,4/9/2024 19:30,4/9/2024 17:12,4/9/2024 17:12,4/8/2025 18:18,No Selection Time Issued,4/8/2025 18:18,1,FALSE
172,Clark III - 306,4/11/2023 21:03,4/11/2023 17:12,4/11/2023 17:12,4/9/2024 20:48,4/10/2024 17:00,4/9/2024 20:48,4/8/2025 18:57,No Selection Time Issued,4/8/2025 18:57,1,FALSE
175,Clark III - 307,4/11/2023 20:21,4/11/2023 18:36,4/11/2023 18:36,4/9/2024 21:12,4/9/2024 17:06,4/9/2024 17:06,4/8/2025 20:27,No Selection Time Issued,4/8/2025 20:27,1,FALSE
179,Clark III - 308,4/11/2023 18:57,4/13/2023 20:00,4/11/2023 18:57,4/9/2024 18:51,4/10/2024 18:27,4/9/2024 18:51,4/8/2025 18:21,No Selection Time Issued,4/8/2025 18:21,1,FALSE
140,Clark III - 309,4/11/2023 21:30,4/11/2023 17:45,4/11/2023 17:45,4/9/2024 21:21,,4/9/2024 21:21,4/8/2025 20:30,No Selection Time Issued,4/8/2025 20:30,1,FALSE
172,Clark III - 310,4/11/2023 18:51,4/13/2023 17:18,4/11/2023 18:51,,4/9/2024 17:48,4/9/2024 17:48,4/8/2025 19:48,No Selection Time Issued,4/8/2025 19:48,1,FALSE
149,Clark III - 311,4/11/2023 19:57,4/11/2023 17:42,4/11/2023 17:42,4/9/2024 21:48,4/10/2024 18:30,4/9/2024 21:48,4/8/2025 20:30,No Selection Time Issued,4/8/2025 20:30,1,FALSE
172,Clark III - 312,4/11/2023 18:51,4/13/2023 17:27,4/11/2023 18:51,4/9/2024 18:30,,4/9/2024 18:30,4/8/2025 18:54,No Selection Time Issued,4/8/2025 18:54,1,FALSE
148,Clark III - 313,4/11/2023 21:33,4/12/2023 17:18,4/11/2023 21:33,,4/11/2024 17:03,4/11/2024 17:03,4/8/2025 20:54,No Selection Time Issued,4/8/2025 20:54,1,FALSE
172,Clark III - 314,4/11/2023 19:15,No Selection Time Issued,4/11/2023 19:15,4/9/2024 21:03,4/9/2024 17:27,4/9/2024 17:27,4/8/2025 19:57,No Selection Time Issued,4/8/2025 19:57,1,FALSE
219,Clark III - 315,4/12/2023 20:30,4/11/2023 17:00,4/11/2023 17:00,4/10/2024 18:42,,4/10/2024 18:42,4/9/2025 20:12,4/9/2025 18:21,4/9/2025 18:21,2,FALSE
172,Clark III - 316,4/11/2023 19:06,4/11/2023 17:09,4/11/2023 17:09,,4/10/2024 17:36,4/10/2024 17:36,4/8/2025 20:09,No Selection Time Issued,4/8/2025 20:09,1,FALSE
170,Clark III - 317,4/11/2023 19:48,4/12/2023 17:48,4/11/2023 19:48,4/9/2024 19:15,4/9/2024 17:15,4/9/2024 17:15,4/8/2025 18:36,No Selection Time Issued,4/8/2025 18:36,1,FALSE
170,Clark III - 318,4/11/2023 20:30,4/11/2023 17:36,4/11/2023 17:36,4/9/2024 19:39,4/9/2024 18:24,4/9/2024 18:24,4/8/2025 19:33,No Selection Time Issued,4/8/2025 19:33,1,FALSE
166,Clark III - 319,4/11/2023 20:57,4/11/2023 17:33,4/11/2023 17:33,4/9/2024 21:36,4/9/2024 17:06,4/9/2024 17:06,4/8/2025 18:24,No Selection Time Issued,4/8/2025 18:24,1,FALSE
172,Clark III - 320,4/11/2023 19:45,4/12/2023 17:12,4/11/2023 19:45,4/9/2024 19:33,4/10/2024 17:12,4/9/2024 19:33,,,,1,FALSE
172,Clark III - 321,4/11/2023 20:21,4/12/2023 19:33,4/11/2023 20:21,4/9/2024 20:15,4/11/2024 17:00,4/9/2024 20:15,,,,1,FALSE
172,Clark III - 322,4/11/2023 19:57,4/13/2023 17:06,4/11/2023 19:57,4/9/2024 21:00,4/9/2024 17:39,4/9/2024 17:39,,,,1,FALSE
172,Clark III - 323,4/11/2023 19:42,4/13/2023 18:06,4/11/2023 19:42,4/9/2024 19:00,4/10/2024 17:00,4/9/2024 19:00,,,,1,FALSE
172,Clark III - 324,4/11/2023 17:15,4/13/2023 19:30,4/11/2023 17:15,4/9/2024 19:42,4/11/2024 17:21,4/9/2024 19:42,,,,1,FALSE
178,Clark III - 325,,,,4/9/2024 19:00,4/9/2024 20:54,4/9/2024 19:00,4/8/2025 19:00,No Selection Time Issued,4/8/2025 19:00,1,FALSE
149,Clark V - CL-V 401-404 - 401,4/11/2023 21:27,No Selection Time Issued,4/11/2023 21:27,4/9/2024 17:39,4/10/2024 19:48,4/9/2024 17:39,4/8/2025 19:12,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
144,Clark V - CL-V 401-404 - 402,4/11/2023 17:27,4/11/2023 17:06,4/11/2023 17:06,4/9/2024 18:45,4/9/2024 20:24,4/9/2024 18:45,4/8/2025 20:09,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
147,Clark V - CL-V 401-404 - 403,4/11/2023 18:30,No Selection Time Issued,4/11/2023 18:30,4/9/2024 21:42,4/10/2024 18:21,4/9/2024 21:42,4/8/2025 20:00,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
